park,parkLabel,countryLabel,continentLabel,areaKm2,inceptionYear,elevation,coord
http://www.wikidata.org/entity/Q119150,Бьёрнландет,Швеция,Европа,0.3541,1991,,Point(18.01487125 63.974039971)
http://www.wikidata.org/entity/Q119528,Jardine River National Park,Австралия,Австралия и Океания,2370,1994,64,Point(142.627 -10.9211)
http://www.wikidata.org/entity/Q119528,Jardine River National Park,Австралия,Австралия и Океания,2370,2017,64,Point(142.627 -10.9211)
http://www.wikidata.org/entity/Q119528,Jardine River National Park,Австралия,Австралия и Океания,2345.883125,1994,64,Point(142.627 -10.9211)
http://www.wikidata.org/entity/Q119528,Jardine River National Park,Австралия,Австралия и Океания,2345.883125,2017,64,Point(142.627 -10.9211)
http://www.wikidata.org/entity/Q120414,Изало,Мадагаскар,Африка,8154,1999,,Point(45.2884 -22.4351)
http://www.wikidata.org/entity/Q120765,Национальный парк «Остров Хинчинбрук»,Австралия,Австралия и Океания,397.6928125,1932,18,Point(146.247 -18.3819)
http://www.wikidata.org/entity/Q120765,Национальный парк «Остров Хинчинбрук»,Австралия,Австралия и Океания,397.6928125,2000,18,Point(146.247 -18.3819)
http://www.wikidata.org/entity/Q120765,Национальный парк «Остров Хинчинбрук»,Австралия,Австралия и Океания,404,1932,18,Point(146.247 -18.3819)
http://www.wikidata.org/entity/Q120765,Национальный парк «Остров Хинчинбрук»,Австралия,Австралия и Океания,404,2000,18,Point(146.247 -18.3819)
http://www.wikidata.org/entity/Q122412,Blackwood National Park,Австралия,Австралия и Океания,16.4733251953125,1991,264,Point(146.715 -21.461666666)
http://www.wikidata.org/entity/Q122412,Blackwood National Park,Австралия,Австралия и Океания,16.4733251953125,1994,264,Point(146.715 -21.461666666)
http://www.wikidata.org/entity/Q122412,Blackwood National Park,Австралия,Австралия и Океания,1648,1991,264,Point(146.715 -21.461666666)
http://www.wikidata.org/entity/Q122412,Blackwood National Park,Австралия,Австралия и Океания,1648,1994,264,Point(146.715 -21.461666666)
